,Value_x,Value_z
2,2- [ 4- (2-HYDROXYETHYL)PIPERAZIN-1-YL] ETHANESULFONIC ACID (HEPES BUFFER),2- [ 4- (2-HYDROXYETHYL)PIPERAZIN-1-YL] ETHANESULFONIC ACID (HEPES BUFFER)
4,2-DIPALMITOYL-SN-GLYCERO-3-PHOSPHATIDIC ACID,2-DIPALMITOYL-SN-GLYCERO-3-PHOSPHATIDIC ACID
5,2-DISTEAROYL- GLYCERO-3-PHOSPHOETHANOLAMINE,2-DISTEAROLY-SN-GLYCERO-3-PHOSPHOETHANOLAMINE
7,2-DISTEAROYL- GLYCERO-3-PHOSPHOETHANOLAMINE,2-DISTEAROYL- SN-GLYCERO-3-PHOSPHOETHANOLAMINE
8,2-DISTEAROYL-SN-GLYCERO(3)PHOSPHOOXY]ETHYLCARBAMOYL)-Ω-METHOXYPOLY(OXYETHYLEN)-40,2-DISTEAROYL-SN-GLYCERO(3)PHOSPHOOXY]ETHYLCARBAMOYL)-Ω-METHOXYPOLY(OXYETHYLEN)-40
9,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE
10,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE (DSPC)
11,ACACIA,ACACIA
12,ACACIA,ACACIA (E 414)
13,ACACIA,ARABIC GUM E414 AND NATURAL
14,ACACIA,GUM ACACIA
15,ACACIA,AND ACACIA GUM (E 414).
16,ACACIA,AND GUM ACACIA (E414)
17,ACACIA,GUM ARABIC
18,ACACIA,GUM ARABIC (E 414)
19,ACACIA,GUM ARABIC (E414)
20,ACESULFAME POTASSIUM,(E950)
21,ACESULFAME POTASSIUM,ACESULFAME POTASSIUM
22,ACESULFAME POTASSIUM,ACESULFAME POTASSIUM (E950)
23,ACETIC ACID,ACETIC ACID (FOR PH ADJUSTMENT)
24,ACETIC ACID,ACETIC ACID
25,ACETIC ACID,ACETIC ACID (99%)
27,ACETIC ACID,GLACIAL
28,ACETIC ACID,GLACIAL (E 260)
29,ACETIC ACID,GLACIAL (E260)
31,ACETIC ACID,GLACIAL (FOR PH-ADJUSTMENT)
32,ACETIC ACID,GLACIAL ACETIC ACID
36,ACETOIN,ACETOIN
37,ACRYLATE-VINYLACETATE COPOLYMER,ACRYLATE-VINYLACETATE COPOLYMER
38,ACRYLIC COPOLYMER ADHESIVE,ACRYLIC COPOLYMER
39,ACRYLIC COPOLYMER ADHESIVE,ACRYLIC CO-POLYMER ADHESIVE CONTAINING 2-ETHYLHEXYLACRYLATE – 1-VINYL-2-PYRROLIDONE CO-POLYMER.
40,ACRYLIC COPOLYMER ADHESIVE,ACRYLIC COPOLYMER ADHESIVE SOLUTION CONTAINING 2-ETHYLHEXYL ACRYLATE N-VINYL PYRROLIDONE AND
41,ETHANOL,ALCOHOL)
42,ALLURA RED,ALLURA RED AC (E 129)
43,ALLURA RED,ALLURA RED AC (E129)
44,ALLURA RED,ALLURA RED AC ALUMINIUM LAKE (E129)
45,ALPHA-TOCOPHEROL,TRIACETATE (E1518) AND ALPHA-TOCOPHEROL (E307)]
46,ALPHA-TOCOPHEROL,ALL-RAC-ALPHA-TOCOPHEROL
47,ALPHA-TOCOPHEROL,ALL-RAC-Α-TOCOPHEROL
49,ALPHA-TOCOPHEROL,-TOCOPHEROL
50,ALPHA-TOCOPHEROL,ALPHA-TOCOPHEROL
52,ALPHA-TOCOPHEROL,DL-Α-TOCOPHEROL (E307).
53,AMMONIA,AMMONIA SOLUTION
54,AMMONIA,AMMONIA SOLUTION CONCENTRATED
