d,Cleaned Excipients,Indices,Excipients_Controlled
942,['NONE'],[447],[nan]
943,['NONE'],[447],[nan]
271,['NONE.'],[276],[nan]
306,['NONE.'],[276],[nan]
863,['NONE.'],[276],[nan]
981,['NONE.'],[276],[nan]
982,['NONE.'],[276],[nan]
983,['NONE.'],[276],[nan]
984,['NONE.'],[276],[nan]
1045,['NONE.'],[276],[nan]
1184,['NONE.'],[276],[nan]
1313,['NONE.'],[276],[nan]
1426,['NONE.'],[276],[nan]
715,['SUCROSE'],[105],['SUCROSE']
392,['NITROGEN'],[1817],['NITROGEN']
393,['NITROGEN'],[1817],['NITROGEN']
1342,['ARGININE'],[1185],['ARGININE']
71,"['NONE', '12']","[447, 1426]","[nan, nan]"
1166,['NORFLURANE'],[645],['NORFLURANE']
1283,"['NONE.', '8']","[276, 2008]","[nan, nan]"
1389,['NORFLURANE'],[645],['NORFLURANE']
309,['MANNITOL E 421'],[1880],['MANNITOL']
23,['MANNITOL (E421)'],[482],['MANNITOL']
278,['MANNITOL (E421)'],[482],['MANNITOL']
307,['MANNITOL (E421)'],[482],['MANNITOL']
832,['MANNITOL (E421)'],[482],['MANNITOL']
1358,['MANNITOL (E421)'],[482],['MANNITOL']
1435,['MANNITOL (E421)'],[482],['MANNITOL']
1467,['MANNITOL (E421)'],[482],['MANNITOL']
290,['MANNITOL (E 421)'],[778],['MANNITOL']
763,['SODIUM HYDROXIDE'],[1643],['SODIUM HYDROXIDE']
1311,['SODIUM CARBONATE'],[684],['SODIUM CARBONATE']
1469,['MANNITOL (E 421)'],[778],['MANNITOL']
1620,['MANNITOL (E 421)'],[778],['MANNITOL']
94,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
97,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
181,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
182,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
384,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
390,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
463,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
466,['WATER FOR INJECTIONS'],[848],['WATER']
467,['WATER FOR INJECTIONS'],[848],['WATER']
468,['WATER FOR INJECTIONS'],[848],['WATER']
469,['WATER FOR INJECTIONS'],[848],['WATER']
470,['WATER FOR INJECTIONS'],[848],['WATER']
479,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
553,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
554,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
555,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
556,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
559,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
560,['LACTOSE MONOHYDRATE.'],[1996],['LACTOSE MONOHYDRATE']
759,['WATER FOR INJECTIONS'],[848],['WATER']
890,['WATER FOR INJECTIONS'],[848],['WATER']
1189,['WATER FOR INJECTIONS'],[848],['WATER']
1190,['WATER FOR INJECTIONS'],[848],['WATER']
1191,['WATER FOR INJECTIONS'],[848],['WATER']
1192,['WATER FOR INJECTIONS'],[848],['WATER']
1193,['WATER FOR INJECTIONS'],[848],['WATER']
1194,['WATER FOR INJECTIONS'],[848],['WATER']
1195,['WATER FOR INJECTIONS'],[848],['WATER']
1441,['WATER FOR INJECTIONS'],[848],['WATER']
291,"['MANNITOL (E 421)', '67']","[778, 1287]","['MANNITOL', nan]"
999,['HARD FAT (ADEPS SOLIDUS)'],[712],['HARD FAT']
868,['SODIUM HYDROGEN CARBONATE'],[2611],['SODIUM HYDROGEN CARBONATE']
830,"['GELATIN', 'MANNITOL (E421)']","[2474, 482]","['GELATIN', 'MANNITOL']"
831,"['GELATIN', 'MANNITOL (E421)']","[2474, 482]","['GELATIN', 'MANNITOL']"
350,"['MANNITOL (E 421)', 'NITROGEN']","[778, 1817]","['MANNITOL', 'NITROGEN']"
351,"['MANNITOL (E 421)', 'NITROGEN']","[778, 1817]","['MANNITOL', 'NITROGEN']"
382,"['HYDROCHLORIC ACID', 'DILUTED']","[2437, 2483]","['HYDROCHLORIC ACID', nan]"
1388,['SODIUM CARBONATE (ANHYDROUS)'],[2182],['SODIUM CARBONATE']
996,['POLY (DL-LACTIDE-CO-GLYCOLIDE)'],[38],['LACTIDE-CO-GLYCOLIDE']
387,"['HYDROCHLORIC ACID (0.04 M)', '5']","[2579, 764]","['HYDROCHLORIC ACID', nan]"
1235,"['GLUCOSE', 'WATER FOR INJECTIONS']","[2106, 848]","['GLUCOSE', 'WATER']"
128,['ETHYLENE VINYL ACETATE COPOLYMER'],[757],['ETHYLENE VINYL ACETATE COPOLYMER']
358,"['DIMETHYLACETAMIDE', 'MACROGOL 400']","[2055, 1335]","['DIMETHYLACETAMIDE', 'POLYETHYLENE GLYCOL']"
826,"['HYDROCHLORIC ACID', 'DILUTED', '8']","[2437, 2483, 2008]","['HYDROCHLORIC ACID', nan, nan]"
