Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys
9,Human,Clopidogrel Krka,Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/001056,no,Authorised,B01AC04,no,yes,no,no,no,no,23/09/2009,,"Krka, d.d., Novo mesto",Antithrombotic agents,25/06/2009,01/12/2023,19,"Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.",17/04/2018,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-krka,['not found']
11,Human,Pylobactell,Breath Tests;  Helicobacter Infections,13C-urea,['UREA (13C)'],EMEA/H/C/000151,no,Authorised,V04CX,no,no,no,no,no,no,07/05/1998,,Torbet Laboratories Ireland Limited,Diagnostic agents,,28/07/2023,12,This medicinal product is for diagnostic use only.For in vivo diagnosis of gastroduodenal Helicobacter pylori (H. pylori) infection.,03/03/2017,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pylobactell,['not found']
44,Human,Trumenba,"Meningitis, Meningococcal","meningococcal group b vaccine (recombinant, adsorbed)",['NEISSERIA MENINGITIDIS SEROGROUP B FHBP (RECOMBINANT LIPIDATED FHBP (FACTOR H BINDING PROTEIN)) SUBFAMILY A; NEISSERIA MENINGITIDIS SEROGROUP B FHBP (RECOMBINANT LIPIDATED FHBP (FACTOR H BINDING PROTEIN)) SUBFAMILY B'],EMEA/H/C/004051,no,Authorised,J07AH09,no,no,no,no,no,no,24/05/2017,,Pfizer Europe MA EEIG,"Bacterial vaccines, Meningococcal vaccines",23/02/2017,19/10/2023,16,Trumenba is indicated for active immunisation of individuals 10 years and older to prevent invasive meningococcal disease caused by Neisseria meningitidis serogroup B.The use of this vaccine should be in accordance with official recommendations.,11/04/2018,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/trumenba,['not found']
49,Human,Trizivir,HIV Infections,abacavir (as sulfate) / lamivudine / zidovudine,"['ABACAVIR (AS SULFATE)', 'LAMIVUDINE', 'ZIDOVUDINE']",EMEA/H/C/000338,no,Authorised,J05AR04,no,no,no,no,no,no,27/12/2000,,ViiV Healthcare BV,Antivirals for systemic use,21/09/2000,15/11/2023,43,"Trizivir is indicated for the treatment of human-immunodeficiency-virus (HIV) infection in adults.This fixed combination replaces the three components (abacavir, lamivudine and zidovudine) used separately in similar dosages. It is recommended that treatment is started with abacavir, lamivudine,and zidovudine separately for the first six to eight weeks. The choice of this fixed combination should be based not only on potential adherence criteria, but mainly on expected efficacy and risk related to the three nucleoside analogues.The demonstration of the benefit of Trizivir is mainly based on results of studies performed in treatment naive patients or moderately antiretroviral experienced patients with non-advanced disease.In patients with high viral load (>100,000 copies/ml) choice of therapy needs special consideration.Overall, the virologic suppression with this triple nucleoside regimen could be inferior to that obtained with other multitherapies notably including boosted protease inhibitors or non-nucleoside reverse-transcriptase inhibitors, therefore the use of Trizivir should only be considered under special circumstances (e.g. co-infection with tuberculosis).Before initiating treatment with abacavir, screening for carriage of the HLA-B*5701 allele should be performed in any HIV-infected patient, irrespective of racial origin. Screening is also recommended prior to re-initiation of abacavir in patients of unknown HLA-B*5701 status who have previously tolerated abacavir (see 'management after an interruption of Trizivir therapy'). Abacavir should not be used in patients known to carry the HLA-B*5701 allele, unless no other therapeutic option is available in these patients, based on the treatment history and resistance testing.",25/01/2018,29/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/trizivir,"['not found', 'JTEGQNOMFQHVDC-NKWVEPMBSA-N', 'HBOMLICNUCNMMY-XLPZGREQSA-N']"
62,Human,Tecartus,"Lymphoma, Mantle-Cell",Brexucabtagene autoleucel,['AUTOLOGOUS PERIPHERAL BLOOD T CELLS CD4 AND CD8 SELECTED AND CD3 AND CD28 ACTIVATED TRANSDUCED WITH RETROVIRAL VECTOR EXPRESSING ANTI-CD19 CD28/CD3-ZETA CHIMERIC ANTIGEN RECEPTOR AND CULTURED (BREXUCABTAGENE AUTOLEUCEL)'],EMEA/H/C/005102,no,Authorised,L01X,yes,no,yes,no,no,yes,14/12/2020,,Kite Pharma EU B.V.,Antineoplastic agents,15/10/2020,15/11/2023,5,Mantle cell lymphomaTecartus is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after two or more lines of systemic therapy including a Bruton’s tyrosine kinase (BTK) inhibitor.Acute lymphoblastic leukaemiaTecartus is indicated for the treatment of adult patients 26 years of age and above with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL).,25/01/2021,28/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/tecartus,['not found']
64,Human,Triumeq,HIV Infections,abacavir sulfate / dolutegravir sodium / lamivudine,"['DOLUTEGRAVIR SODIUM', 'LAMIVUDINE', 'ABACAVIR (AS SULFATE)']",EMEA/H/C/002754,no,Authorised,J05AR13,no,no,no,no,no,no,31/08/2014,,ViiV Healthcare B.V.,Antivirals for systemic use,26/06/2014,15/11/2023,32,"Triumeq is indicated for the treatment of Human Immunodeficiency Virus (HIV) infected adults,  adolescents and children  weighing at least 25 kg who are antiretroviral treatment-naïve or are infected with HIV without documented or clinically suspected resistance to any of the three antiretroviral agents in Triumeq.",12/07/2018,27/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/triumeq,"['UGWJRRXTMKRYNK-VSLILLSYSA-M', 'JTEGQNOMFQHVDC-NKWVEPMBSA-N', 'not found']"
88,Human,Aqumeldi,Heart Failure,Enalapril maleate,['ENALAPRIL (MALEATE)'],EMEA/H/C/005731,no,Authorised,C09AA02,no,no,no,no,no,no,15/11/2023,,Proveca Pharma Limited,Agents acting on the renin-angiotensin system,14/09/2023,,,Treatment of heart failure.,22/05/2023,22/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/aqumeldi,['not found']
155,Human,Nuvaxovid,COVID-19 virus infection,"COVID-19 Vaccine (recombinant, adjuvanted)","['SARS COV-2 (ORIGINAL) RECOMBINANT SPIKE PROTEIN', 'SARS-COV-2 (OMICRON XBB.1.5) RECOMBINANT SPIKE PROTEIN']",EMEA/H/C/005808,no,Authorised,J07BN04,yes,no,no,no,no,no,20/12/2021,,"Novavax CZ, a.s.",Covid-19 vaccines,20/12/2021,31/10/2023,11,Nuvaxovid is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 12 years of age and older.The use of this vaccine should be in accordance with official recommendations.Nuvaxovid XBB.1.5 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 12 years of age and older.The use of this vaccine should be in accordance with official recommendations.,20/12/2021,08/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/nuvaxovid,"['not found', 'not found']"
163,Human,Zejula,Fallopian Tube Neoplasms;  Peritoneal Neoplasms;  Ovarian Neoplasms,niraparib,['NIRAPARIB (TOSILATE MONOHYDRATE)'],EMEA/H/C/004249,no,Authorised,L01XK02,no,no,no,no,no,yes,16/11/2017,,GlaxoSmithKline (Ireland) Limited,Antineoplastic agents,14/09/2017,06/11/2023,22,"Zejula is indicated:, , , 	as monotherapy for the maintenance treatment of adult patients with advanced epithelial (FIGO Stages III and IV) high-grade ovarian, fallopian tube or primary peritoneal cancer who are in response (complete or partial) following completion of first-line platinum-based chemotherapy., 	as monotherapy for the maintenance treatment of adult patients with platinum sensitive relapsed high grade serous epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum based chemotherapy., , ",19/12/2017,07/11/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/zejula,['not found']
189,Human,Xofigo,Prostatic Neoplasms,radium Ra223 dichloride,['RADIUM (223RA) DICHLORIDE'],EMEA/H/C/002653,no,Authorised,V10XX03,yes,no,no,no,no,no,13/11/2013,,Bayer AG,Therapeutic radiopharmaceuticals,,15/09/2023,14,"Xofigo is indicated for the treatment of adults with castration-resistant prostate cancer, symptomatic bone metastases and no known visceral metastases.",21/06/2018,30/10/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/xofigo,['not found']
