Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys,PDF_URL
0,Human,Ryeqo,Leiomyoma,"relugolix, estradiol, norethisterone acetate","['RELUGOLIX', 'NORETHISTERONE ACETATE', 'ESTRADIOL HEMIHYDRATE']",EMEA/H/C/005267,no,Authorised,H01CC54,yes,no,no,no,no,no,16/07/2021,,Gedeon Richter Plc.,Pituitary and hypothalamic hormones and analogues,16/07/2021,30/10/2023,6,"Ryeqo is indicated in adult women of reproductive age for:- treatment of moderate to severe symptoms of uterine fibroids,- symptomatic treatment of endometriosis in women with a history of previous medical or surgical treatment for their endometriosis.",19/05/2021,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/ryeqo,"['AOMXMOCNKJTRQP-UHFFFAOYSA-N', 'IMONTRJLAWHYGT-ZCPXKWAGSA-N', 'ZVVGLAMWAQMPDR-WVEWYJOQSA-N']",https://www.ema.europa.eu/en/documents/product-information/ryeqo-epar-product-information_en.pdf
2,Human,Leflunomide medac,"Arthritis, Rheumatoid",leflunomide,['LEFLUNOMIDE'],EMEA/H/C/001227,no,Authorised,L04AA13,no,yes,no,no,no,no,27/07/2010,,medac Gesellschaft für klinische Spezialpräparate mbH,Selective immunosuppressants,,31/10/2023,19,"Leflunomide is indicated for the treatment of adult patients with:active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD).Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions, therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects.Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.",30/01/2018,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-medac,['VHOGYURTWQBHIL-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/leflunomide-medac-epar-product-information_en.pdf
4,Human,Opzelura,Vitiligo,ruxolitinib,['RUXOLITINIB PHOSPHATE'],EMEA/H/C/005843,no,Authorised,D11AH,no,no,no,no,no,no,19/04/2023,,Incyte Biosciences Distribution B.V.,Other dermatological preparations,23/02/2023,19/10/2023,2,Opzelura is indicated for the treatment of non-segmental vitiligo with facial involvement in adults and adolescents from 12 years of age.,22/02/2023,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/opzelura,['JFMWPOCYMYGEDM-XFULWGLBSA-N'],https://www.ema.europa.eu/en/documents/product-information/opzelura-epar-product-information_en.pdf
6,Human,Qutenza,Neuralgia,capsaicin,['CAPSAICIN'],EMEA/H/C/000909,no,Authorised,N01BX04,no,no,no,no,no,no,15/05/2009,,Grunenthal GmbH,Anesthetics,19/03/2009,01/12/2023,19,Qutenza is indicated for the treatment of peripheral neuropathic pain in adults either alone or in combination with other medicinal products for pain.,24/08/2017,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/qutenza,['YKPUWZUDDOIDPM-SOFGYWHQSA-N'],https://www.ema.europa.eu/en/documents/product-information/qutenza-epar-product-information_en.pdf
7,Human,Levitra,Erectile Dysfunction,vardenafil,['VARDENAFIL'],EMEA/H/C/000475,no,Authorised,G04BE09,no,no,no,no,no,no,06/03/2003,,Bayer AG ,Urologicals,,30/11/2023,33,"Treatment of erectile dysfunction in adult men.Erectile dysfunction is the inability to achieve or maintain a penile erection sufficient for satisfactory sexual performance.In order for Levitra to be effective, sexual stimulation is required.Levitra is not indicated for use by women.",19/04/2018,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/levitra,['SECKRCOLJRRGGV-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/levitra-epar-product-information_en.pdf
8,Human,Rilutek,Amyotrophic Lateral Sclerosis,riluzole,['RILUZOLE'],EMEA/H/C/000109,no,Authorised,N07XX02,no,no,no,no,no,no,10/06/1996,,Sanofi Winthrop Industrie,Other nervous system drugs,14/02/1996,15/11/2023,32,"Rilutek is indicated to extend life or the time to mechanical ventilation for patients with amyotrophic lateral sclerosis (ALS).Clinical trials have demonstrated that Rilutek extends survival for patients with ALS.Survival was defined as patients who were alive, not intubated for mechanical ventilation and tracheotomy-free.There is no evidence that Rilutek exerts a therapeutic effect on motor function, lung function, fasciculations, muscle strength and motor symptoms.Rilutek has not been shown to be effective in the late stages of ALS.Safety and efficacy of Rilutek has only been studied in ALS. Therefore, Rilutek should not be used in patients with any other form of motor-neurone disease.",13/11/2017,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/rilutek,['FTALBRSUTCGOEG-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/rilutek-epar-product-information_en.pdf
9,Human,Clopidogrel Krka,Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/001056,no,Authorised,B01AC04,no,yes,no,no,no,no,23/09/2009,,"Krka, d.d., Novo mesto",Antithrombotic agents,25/06/2009,01/12/2023,19,"Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.",17/04/2018,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-krka,['not found'],https://www.ema.europa.eu/en/documents/product-information/clopidogrel-krka-epar-product-information_en.pdf
10,Human,Hycamtin,Ovarian Neoplasms;  Uterine Cervical Neoplasms;  Small Cell Lung Carcinoma,topotecan,['TOPOTECAN'],EMEA/H/C/000123,no,Authorised,L01CE01,no,no,no,no,no,no,12/11/1996,,Sandoz Pharmaceuticals d.d.,Antineoplastic agents,17/07/1996,01/12/2023,39,Hycamtin capsules are indicated as monotherapy for the treatment of adult patients with relapsed small cell lung cancer (SCLC) for whom re-treatment with the first-line regimen is not considered appropriate.Topotecan is indicated for the treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy.Hycamtin capsules are indicated as monotherapy for the treatment of adult patients with relapsed small cell lung cancer (SCLC) for whom re-treatment with the first-line regimen is not considered appropriate.,23/04/2018,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/hycamtin,['UCFGDBYHRUNTLO-QHCPKHFHSA-N'],https://www.ema.europa.eu/en/documents/product-information/hycamtin-epar-product-information_en.pdf
11,Human,Pylobactell,Breath Tests;  Helicobacter Infections,13C-urea,['UREA (13C)'],EMEA/H/C/000151,no,Authorised,V04CX,no,no,no,no,no,no,07/05/1998,,Torbet Laboratories Ireland Limited,Diagnostic agents,,28/07/2023,12,This medicinal product is for diagnostic use only.For in vivo diagnosis of gastroduodenal Helicobacter pylori (H. pylori) infection.,03/03/2017,04/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pylobactell,['not found'],https://www.ema.europa.eu/en/documents/product-information/pylobactell-epar-product-information_en.pdf
13,Human,Orladeyo,"Angioedemas, Hereditary",berotralstat,['BEROTRALSTAT DIHYDROCHLORIDE'],EMEA/H/C/005138,no,Authorised,B06AC,no,no,no,no,no,no,30/04/2021,,BioCryst Ireland Limited,Other hematological agents,25/02/2021,13/12/2022,5,Orladeyo is indicated for routine prevention of recurrent attacks of hereditary angioedema (HAE) in adult and adolescent patients aged 12 years and older.,24/02/2021,01/12/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/orladeyo,['XFZLBLTUANGZBD-QDSLRZTOSA-N'],https://www.ema.europa.eu/en/documents/product-information/orladeyo-epar-product-information_en.pdf
