Column2,Column1,active_PSS,product,Substance_Name,Substance_Type,Molecular_Formula,Molecular_Weight,Inchikey,Comment,Created_Date,Last_Updated_Date,External_Code_XEVMPD,External_Code_SVG,External_Code_UNII,pss_inchi,IsomericSMILES
0,0,RELUGOLIX,0,RELUGOLIX,Chemical,C29H27F2N7O5S,,AOMXMOCNKJTRQP-UHFFFAOYSA-N,,25/07/2019 11:55,01/08/2023 06:31,SUB189168,1,P76B05O5V6,"InChI=1S/C29H27F2N7O5S/c1-36(2)14-19-24-26(39)38(22-12-13-23(42-3)34-33-22)29(41)37(15-18-20(30)6-5-7-21(18)31)27(24)44-25(19)16-8-10-17(11-9-16)32-28(40)35-43-4/h5-13H,14-15H2,1-4H3,(H2,32,35,40)",CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC
1,1,ESTRADIOL HEMIHYDRATE,0,ESTRADIOL HEMIHYDRATE,Chemical,2C18H24O2.H2O,,ZVVGLAMWAQMPDR-WVEWYJOQSA-N,,25/07/2019 11:55,21/12/2023 07:58,SUB11941MIG,1,CXY7B3Q98Z,"InChI=1S/2C18H24O2.H2O/c2*1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20;/h2*3,5,10,14-17,19-20H,2,4,6-9H2,1H3;1H2/t2*14-,15-,16+,17+,18+;/m11./s1",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.O
2,2,NORETHISTERONE ACETATE,0,NORETHISTERONE ACETATE,Chemical,C22H28O3,,IMONTRJLAWHYGT-ZCPXKWAGSA-N,,25/07/2019 11:55,20/12/2023 16:33,SUB03457MIG,1,9S44LIC7OJ,"InChI=1S/C22H28O3/c1-4-22(25-14(2)23)12-10-20-19-7-5-15-13-16(24)6-8-17(15)18(19)9-11-21(20,22)3/h1,13,17-20H,5-12H2,2-3H3/t17-,18+,19+,20-,21-,22-/m0/s1",CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C
3,3,TERIFLUNOMIDE,1,TERIFLUNOMIDE,Chemical,C12H9F3N2O2,,UTNUDOFZCWSZMS-YFHOEESVSA-N,,25/07/2019 11:55,21/12/2023 10:16,SUB25218,1,1C058IKG3B,"InChI=1S/C12H9F3N2O2/c1-7(18)10(6-16)11(19)17-9-4-2-8(3-5-9)12(13,14)15/h2-5,18H,1H3,(H,17,19)/b10-7-",C/C(=C(\C#N)/C(=O)NC1=CC=C(C=C1)C(F)(F)F)/O
4,4,LEVODOPA,2,LEVODOPA,Chemical,C9H11NO4,,WTDRDQBEARUVNC-LURJTMIESA-N,,25/07/2019 11:55,19/12/2023 14:08,SUB08468MIG,1,46627O600J,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1",C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
5,5,CARBIDOPA,2,CARBIDOPA,Chemical,,,TZFNLOMSOLWIDK-JTQLQIEISA-N,Ph. Eur. mismatch,25/07/2019 11:55,28/07/2023 13:05,SUB06126MIG,,,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1",C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
6,6,ENTACAPONE,2,ENTACAPONE,Chemical,C14H15N3O5,,JRURYQJSLYLRLN-BJMVGYQFSA-N,,25/07/2019 11:55,20/12/2023 12:07,SUB06552MIG,1,4975G9NM6T,"InChI=1S/C14H15N3O5/c1-3-16(4-2)14(20)10(8-15)5-9-6-11(17(21)22)13(19)12(18)7-9/h5-7,18-19H,3-4H2,1-2H3/b10-5+",CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N
7,7,PREGABALIN,3,PREGABALIN,Chemical,C8H17NO2,,AYXYPKUFHZROOJ-ZETCQYMHSA-N,,25/07/2019 11:55,20/12/2023 08:49,SUB10023MIG,1,55JG375S6M,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",CC(C)C[C@@H](CC(=O)O)CN
8,8,CABOTEGRAVIR,4,CABOTEGRAVIR,Chemical,C19H17F2N3O5,,WCWSTNLSLKSJPK-LKFCYVNXSA-N,,25/07/2019 11:55,01/08/2023 06:31,SUB179611,1,HMH0132Z1Q,"InChI=1S/C19H17F2N3O5/c1-9-8-29-14-7-23-6-12(16(25)17(26)15(23)19(28)24(9)14)18(27)22-5-10-2-3-11(20)4-13(10)21/h2-4,6,9,14,26H,5,7-8H2,1H3,(H,22,27)/t9-,14+/m0/s1",C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O
9,9,CABOTEGRAVIR SODIUM,5,CABOTEGRAVIR SODIUM,Chemical,C19H16F2N3O5.Na,,AEZBWGMXBKPGFP-KIUAEZIZSA-M,,25/07/2019 11:55,12/06/2023 12:45,SUB198499,1,3L12PT535M,"InChI=1S/C19H17F2N3O5.Na/c1-9-8-29-14-7-23-6-12(16(25)17(26)15(23)19(28)24(9)14)18(27)22-5-10-2-3-11(20)4-13(10)21;/h2-4,6,9,14,26H,5,7-8H2,1H3,(H,22,27);/q;+1/p-1/t9-,14+;/m0./s1",C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-].[Na+]
