table_name,Column Name,Data Type,Non-Null Count,Unique Values,Sample Values,Description
drug_products.csv,product_id,int64,1229,1229,"1, 2, 3",Product identifier
drug_products.csv,product_name,object,1229,1062,"Ryeqo, Teriflunomide Mylan, Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz)",Product name
drug_products.csv,ema_number,object,1229,1063,"EMEA/H/C/005267, EMEA/H/C/005962, EMEA/H/C/002785",European medicines agency number
drug_products.csv,patient_safety,bool,1229,2,"False, True",Patient safety warning
drug_products.csv,authorisation_status,object,1229,2,"Authorised, Withdrawn",Authorisation status
drug_products.csv,atc_code,object,1219,554,"H01CC54, L04AA31, N04BA03",Anatomical therapeutic chemical classification system full code
drug_products.csv,additional,bool,1229,2,"True, False",Subject to additional monitoring
drug_products.csv,generic,bool,1229,2,"False, True",Generic medicinal product
drug_products.csv,conditional,bool,1229,2,"False, True",Conditionally approved
drug_products.csv,exceptional,bool,1229,2,"False, True",Exceptional circumstances
drug_products.csv,accelerated,bool,1229,2,"False, True",Approved via the accelerated route
drug_products.csv,orphan,bool,1229,2,"False, True",Orphan medicinal product
drug_products.csv,authorisation_date,object,1228,694,"16/07/2021, 09/11/2022, 11/11/2013",Date authorised
drug_products.csv,authorisation_holder,object,1228,359,"Gedeon Richter Plc., Mylan Pharmaceuticals Limited, Orion Corporation",Marketing authorisation holder
drug_products.csv,therapeutic_group,object,1219,159,"Pituitary and hypothalamic hormones and analogues, Immunosuppressants, Anti-Parkinson drugs",Human pharmacotherapeutic group
drug_products.csv,indication,object,1229,1007,"Ryeqo is indicated in adult women of reproductive age for:- treatment of moderate to severe symptoms of uterine fibroids,- symptomatic treatment of endometriosis in women with a history of previous medical or surgical treatment for their endometriosis., Teriflunomide Mylan is indicated for the treatment of adult patients and paediatric patients aged 10 years and older (body weight > 40 kg) with relapsing remitting multiple sclerosis (MS) (please refer to section 5.1 of the SmPC for important information on the population for which efficacy has been established). , Corbilta is indicated for the treatment of adult patients with Parkinson’s disease and end-of-dose motor fluctuations not stabilised on levodopa/dopa decarboxylase (DDC) inhibitor treatment.",Indication
drug_products.csv,url,object,1229,1063,"https://www.ema.europa.eu/en/medicines/human/EPAR/ryeqo, https://www.ema.europa.eu/en/medicines/human/EPAR/teriflunomide-mylan, https://www.ema.europa.eu/en/medicines/human/EPAR/corbilta",Uniform resource locator to product's page on EMA website
drug_products.csv,dosage_form,object,1229,81,"Tablet, Hard Capsule, Prolonged-Release Suspension for Injection",Pharmaceutical form
drug_products.csv,route,object,1229,23,"Oral, Intramuscular, Inhalation",Route of administration
parent_drugs.csv,parent_drug_id,int64,550,550,"1, 2, 3",Parent drug identifier
