,LHS,RHS,support,confidence,coverage,lift,count
7,"Sorbitan
monolaurate",Copovidone,0.012165450121654502,1.0,0.012165450121654502,19.571428571428573,5
9,"Sorbitan
monolaurate","Silicon
dioxide,
anhydrous",0.012165450121654502,1.0,0.012165450121654502,2.283333333333333,5
10,"Sorbitan
monolaurate",Talc,0.012165450121654502,1.0,0.012165450121654502,1.8767123287671232,5
11,"Sorbitan
monolaurate","Polyethylene
glycol",0.012165450121654502,1.0,0.012165450121654502,1.5222222222222221,5
12,"Sorbitan
monolaurate","Titanium
dioxide",0.012165450121654502,1.0,0.012165450121654502,1.1878612716763006,5
67,"Hypromellose
acetate
succinate","Croscarmellose
sodium",0.024330900243309004,0.9090909090909091,0.026763990267639905,2.052947052947053,10
68,"Hypromellose
acetate
succinate","Silicon
dioxide,
anhydrous",0.0170316301703163,0.6363636363636364,0.026763990267639905,1.4530303030303031,7
69,"Hypromellose
acetate
succinate",Talc,0.0170316301703163,0.6363636363636364,0.026763990267639905,1.194271481942715,7
70,"Hypromellose
acetate
succinate","Iron
oxide",0.019464720194647202,0.7272727272727273,0.0267639902676399,1.1956363636363638,8
71,"Hypromellose
acetate
succinate","Microcrystalline
cellulose",0.024330900243309004,0.9090909090909091,0.026763990267639905,1.1676136363636362,10
72,"Hypromellose
acetate
succinate","Magnesium
stearate",0.024330900243309004,0.9090909090909091,0.026763990267639905,1.0524967989756722,10
73,"Hypromellose
acetate
succinate","Titanium
dioxide",0.024330900243309004,0.9090909090909091,0.026763990267639905,1.0798738833420913,10
111,Copovidone,"Silicon
dioxide,
anhydrous",0.0340632603406326,0.6666666666666666,0.051094890510948905,1.5222222222222221,14
112,Copovidone,Talc,0.0413625304136253,0.8095238095238095,0.051094890510948905,1.5192433137638617,17
113,Copovidone,"Iron
oxide",0.0413625304136253,0.8095238095238095,0.051094890510948905,1.330857142857143,17
114,Copovidone,"Polyethylene
glycol",0.0413625304136253,0.8095238095238095,0.051094890510948905,1.2322751322751324,17
115,Copovidone,"Titanium
dioxide",0.051094890510948905,1.0,0.051094890510948905,1.1878612716763006,21
226,"Croscarmellose
sodium","Iron
oxide",0.2895377128953771,0.6538461538461539,0.4428223844282238,1.0749230769230769,119
227,"Croscarmellose
sodium","Polyethylene
glycol",0.291970802919708,0.6593406593406593,0.4428223844282238,1.0036630036630036,120
228,"Croscarmellose
sodium","Microcrystalline
cellulose",0.3844282238442822,0.8681318681318682,0.4428223844282238,1.1150068681318683,158
229,"Croscarmellose
sodium","Magnesium
stearate",0.41119221411192214,0.9285714285714286,0.4428223844282238,1.0750503018108652,169
230,"Croscarmellose
sodium","Titanium
dioxide",0.39172749391727496,0.8846153846153846,0.44282238442822386,1.0508003557136505,161
231,"Silicon
dioxide,
anhydrous","Iron
oxide",0.2725060827250608,0.6222222222222222,0.43795620437956206,1.0229333333333335,112
232,"Silicon
dioxide,
anhydrous","Polyethylene
glycol",0.30413625304136255,0.6944444444444444,0.43795620437956206,1.0570987654320987,125
233,"Silicon
dioxide,
anhydrous","Microcrystalline
cellulose",0.36253041362530414,0.8277777777777777,0.43795620437956206,1.0631770833333332,149
235,"Silicon
dioxide,
anhydrous","Titanium
dioxide",0.3746958637469586,0.8555555555555555,0.43795620437956206,1.0162813102119461,154
241,Talc,"Iron
oxide",0.3844282238442822,0.7214611872146118,0.5328467153284672,1.1860821917808217,158
242,"Iron
oxide",Talc,0.3844282238442822,0.632,0.608272506082725,1.186082191780822,158
243,Talc,"Polyethylene
glycol",0.4209245742092457,0.7899543378995434,0.5328467153284672,1.2024860476915271,173
244,"Polyethylene
glycol",Talc,0.4209245742092457,0.6407407407407407,0.656934306569343,1.2024860476915271,173
245,Talc,"Microcrystalline
cellulose",0.41605839416058393,0.7808219178082192,0.5328467153284672,1.0028681506849315,171
247,Talc,"Titanium
dioxide",0.5085158150851582,0.954337899543379,0.5328467153284672,1.1336210309604877,209
248,"Titanium
dioxide",Talc,0.5085158150851582,0.6040462427745664,0.8418491484184917,1.1336210309604877,209
255,"Iron
oxide","Polyethylene
glycol",0.43309002433090027,0.712,0.6082725060827251,1.0838222222222222,178
256,"Polyethylene
glycol","Iron
oxide",0.43309002433090027,0.6592592592592592,0.6569343065693432,1.083822222222222,178
